author_unit_first,unit_city,unit_city_code
百度,北京市,1100
北大方正,北京市,1100
北方工业大学,北京市,1100
北京安定医院,北京市,1100
北京奥组委,北京市,1100
北京北大方正软件职业技术学院,北京市,1100
北京财贸职业学院,北京市,1100
北京晨报,北京市,1100
北京城市科学研究会,北京市,1100
北京城市系统工程研究中心,北京市,1100
北京城市学院,北京市,1100
北京出版,北京市,1100
北京出入境检验检疫局,北京市,1100
北京创业投资协会,北京市,1100
北京大军经济观察研究中心,北京市,1100
北京大学,北京市,1100
北京第二实验小学,北京市,1100
北京第二外国语大学,北京市,1100
北京第二外国语学院,北京市,1100
北京电视台,北京市,1100
北京电视艺术中心,北京市,1100
北京电台,北京市,1100
北京电影学院,北京市,1100
北京电影制片厂,北京市,1100
北京电子科技学院,北京市,1100
北京电子科技职业学院,北京市,1100
北京东方道德研究所,北京市,1100
北京反不正当竞争法律保护中心,北京市,1100
北京房山青龙湖镇,北京市,1100
北京服装学院,北京市,1100
北京工商大学,北京市,1100
北京工业大学,北京市,1100
北京工业职业技术学院,北京市,1100
北京广播电视大学,北京市,1100
北京广播电视台,北京市,1100
北京国家会计学院,北京市,1100
北京航空航天大学,北京市,1100
北京华文学院,北京市,1100
北京化工大学,北京市,1100
北京画院,北京市,1100
北京回龙观医院,北京市,1100
北京汇佳职业学院,北京市,1100
北京汇文中学,北京市,1100
北京机械士官学校,北京市,1100
北京基督教青年会,北京市,1100
北京吉利学院,北京市,1100
北京集佳知识产权代理有限公司,北京市,1100
北京建工集团,北京市,1100
北京建筑大学,北京市,1100
北京建筑设计研究院,北京市,1100
北京交通大学,北京市,1100
北京交通运输职业学院,北京市,1100
北京交通职业技术学院,北京市,1100
北京教科院,北京市,1100
北京教育考试院,北京市,1100
北京教育科学研究院,北京市,1100
北京教育网络和信息中心,北京市,1100
北京教育学院,北京市,1100
北京京北职业技术学院,北京市,1100
北京经济管理干部学院,北京市,1100
北京经济管理职业学院,北京市,1100
北京经济技术职业学院,北京市,1100
北京经贸职业学院,北京市,1100
北京警察学院,北京市,1100
北京军医学院,北京市,1100
北京科技大学,北京市,1100
北京科技经营管理学院,北京市,1100
北京科技职业学院,北京市,1100
北京科学技术出版,北京市,1100
北京科学教育电影制片厂,北京市,1100
北京科学学研究中心,北京市,1100
