author_first,city_code1,ymmin1,ymmax1,city_code2,ymmin2,ymmax2,move_time,class_overlap,mag_overlap,coauthor_overlap,daysgap
郭峰,1100.0,2016-06-01 00:00:00,2016-06-01,3100.0,2017-07-01,2017-07-01,2,2,1,0,395
陈仕华,2102.0,2014-10-01 00:00:00,2014-10-01,1200.0,2015-09-01,2015-09-01,2,1,1,2,335
陈仕华,1200.0,2015-09-01 00:00:00,2015-09-01,2102.0,2016-06-01,2017-05-01,2,1,1,2,274
陈平,1100.0,2002-01-01 00:00:00,2002-01-01,4401.0,2002-06-01,2002-06-01,2,1,1,0,151
陈平,4401.0,2002-06-01 00:00:00,2002-06-01,1100.0,2006-10-01,2006-10-01,2,1,1,0,1583
高峰,1200.0,2001-12-01 00:00:00,2001-12-01,1100.0,2003-03-01,2003-03-01,2,1,1,0,455
高峰,1100.0,2003-03-01 00:00:00,2003-03-01,1200.0,2004-10-01,2005-10-01,2,1,1,0,580
黄志刚,1100.0,2009-06-01 00:00:00,2009-06-01,3501.0,2010-05-01,2010-05-01,2,1,1,0,334
黄志刚,3501.0,2010-05-01 00:00:00,2010-05-01,1100.0,2010-07-01,2017-05-01,2,1,1,0,61
龚锋,4201.0,2015-08-01 00:00:00,2015-08-01,4419.0,2016-01-01,2016-01-01,2,1,1,0,153
龚锋,4419.0,2016-01-01 00:00:00,2016-01-01,4201.0,2017-03-01,2017-03-01,2,1,1,0,425
